sequence_id,split,image_id,frame_index,timestamp_s,camera_view,annotations,remote_path,download_url,local_path,annotation_status,preannotation_source
stream_gbassinexch1.stream_2023-02-16_13-30-33,train,1,0,0.000,aerial,439,stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0000000.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0000000.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0000000.jpg,needs_manual_review,Grand Bassin machine-generated COCO
stream_gbassinexch1.stream_2023-02-16_13-30-33,train,17,240,8.000,aerial,438,stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0000240.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0000240.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0000240.jpg,needs_manual_review,Grand Bassin machine-generated COCO
stream_gbassinexch1.stream_2023-02-16_13-30-33,train,32,465,15.500,aerial,436,stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0000465.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0000465.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0000465.jpg,needs_manual_review,Grand Bassin machine-generated COCO
stream_gbassinexch1.stream_2023-02-16_13-30-33,train,48,705,23.500,aerial,443,stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0000705.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0000705.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0000705.jpg,needs_manual_review,Grand Bassin machine-generated COCO
stream_gbassinexch1.stream_2023-02-16_13-30-33,train,64,945,31.500,aerial,429,stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0000945.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0000945.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0000945.jpg,needs_manual_review,Grand Bassin machine-generated COCO
stream_gbassinexch1.stream_2023-02-16_13-30-33,train,79,1170,39.000,aerial,426,stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0001170.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0001170.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0001170.jpg,needs_manual_review,Grand Bassin machine-generated COCO
stream_gbassinexch1.stream_2023-02-16_13-30-33,train,95,1410,47.000,aerial,423,stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0001410.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0001410.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0001410.jpg,needs_manual_review,Grand Bassin machine-generated COCO
stream_gbassinexch1.stream_2023-02-16_13-30-33,train,111,1650,55.000,aerial,424,stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0001650.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0001650.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0001650.jpg,needs_manual_review,Grand Bassin machine-generated COCO
stream_gbassinexch1.stream_2023-02-16_13-30-33,train,126,1875,62.500,aerial,410,stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0001875.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0001875.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0001875.jpg,needs_manual_review,Grand Bassin machine-generated COCO
stream_gbassinexch1.stream_2023-02-16_13-30-33,train,142,2115,70.500,aerial,421,stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0002115.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0002115.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0002115.jpg,needs_manual_review,Grand Bassin machine-generated COCO
stream_gbassinexch1.stream_2023-02-16_13-30-33,train,158,2355,78.500,aerial,420,stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0002355.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0002355.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0002355.jpg,needs_manual_review,Grand Bassin machine-generated COCO
