sample_id,role,source,weather,date,timestamp,group_id,local_path,xml_path,archive_image_member,archive_xml_member,image_bytes,image_sha256,xml_bytes,xml_sha256,width,height,known_slots,occupied,vacant,unknown
pklot_stage_k_001,stage_k_candidate_no_predictions,pucpr,sunny,2012-10-15,2012-10-15T05_35_39Z,pucpr/2012-10-15,images/pucpr/2012-10-15/2012-10-15_05_35_39.jpg,xml/pucpr/2012-10-15/2012-10-15_05_35_39.xml,PKLot/parking2/sunny/2012-10-15/2012-10-15_05_35_39.jpg,PKLot/parking2/sunny/2012-10-15/2012-10-15_05_35_39.xml,330965,3047fdec6be666456b248c81381ac0e66d335a850bd31ef3a17b31d2fa076ea0,33530,7255035a107e98b2803b468ae1d25059e3d18e45677d2bfe9da889dc1dfba7c1,1280,720,100,0,100,0
pklot_stage_k_002,stage_k_candidate_no_predictions,pucpr,sunny,2012-10-15,2012-10-15T06_05_40Z,pucpr/2012-10-15,images/pucpr/2012-10-15/2012-10-15_06_05_40.jpg,xml/pucpr/2012-10-15/2012-10-15_06_05_40.xml,PKLot/parking2/sunny/2012-10-15/2012-10-15_06_05_40.jpg,PKLot/parking2/sunny/2012-10-15/2012-10-15_06_05_40.xml,292258,a4d159b235a7c97d336306bbffd9ed3a8f2b7fce7e0d44ad0d3c3de87c2c4660,33530,7255035a107e98b2803b468ae1d25059e3d18e45677d2bfe9da889dc1dfba7c1,1280,720,100,0,100,0
pklot_stage_k_003,stage_k_candidate_no_predictions,pucpr,sunny,2012-10-15,2012-10-15T06_55_43Z,pucpr/2012-10-15,images/pucpr/2012-10-15/2012-10-15_06_55_43.jpg,xml/pucpr/2012-10-15/2012-10-15_06_55_43.xml,PKLot/parking2/sunny/2012-10-15/2012-10-15_06_55_43.jpg,PKLot/parking2/sunny/2012-10-15/2012-10-15_06_55_43.xml,309108,f52ee54fc91126f2ffedf647384fd40e8c4523d262fb43b71ba07295c7139d55,33530,7255035a107e98b2803b468ae1d25059e3d18e45677d2bfe9da889dc1dfba7c1,1280,720,100,0,100,0
pklot_stage_k_004,stage_k_candidate_no_predictions,pucpr,sunny,2012-10-15,2012-10-15T07_35_45Z,pucpr/2012-10-15,images/pucpr/2012-10-15/2012-10-15_07_35_45.jpg,xml/pucpr/2012-10-15/2012-10-15_07_35_45.xml,PKLot/parking2/sunny/2012-10-15/2012-10-15_07_35_45.jpg,PKLot/parking2/sunny/2012-10-15/2012-10-15_07_35_45.xml,314618,d6e79deabdc66a15bca51f36c119fcbb280305e71d7dca3a051c6cc138fd72c9,33530,d4b974b47415a54c4400bf8d47597a64e3908ccbbc2bde9d15e866953dae69aa,1280,720,100,1,99,0
pklot_stage_k_005,stage_k_candidate_no_predictions,pucpr,sunny,2012-10-15,2012-10-15T07_50_45Z,pucpr/2012-10-15,images/pucpr/2012-10-15/2012-10-15_07_50_45.jpg,xml/pucpr/2012-10-15/2012-10-15_07_50_45.xml,PKLot/parking2/sunny/2012-10-15/2012-10-15_07_50_45.jpg,PKLot/parking2/sunny/2012-10-15/2012-10-15_07_50_45.xml,293360,6ff05760587942e354f7573c236665f5348ad5dfc86356629607ccae8e7e561b,33530,7255035a107e98b2803b468ae1d25059e3d18e45677d2bfe9da889dc1dfba7c1,1280,720,100,0,100,0
pklot_stage_k_006,stage_k_candidate_no_predictions,pucpr,sunny,2012-10-15,2012-10-15T08_25_47Z,pucpr/2012-10-15,images/pucpr/2012-10-15/2012-10-15_08_25_47.jpg,xml/pucpr/2012-10-15/2012-10-15_08_25_47.xml,PKLot/parking2/sunny/2012-10-15/2012-10-15_08_25_47.jpg,PKLot/parking2/sunny/2012-10-15/2012-10-15_08_25_47.xml,301516,ca074b66171b972db912598461f206276f623e874b08e3907e65a75700b645fd,33530,46865c0f2c654d0c343c05919e14b886cf3040f0101a86c8cea3964311ded807,1280,720,100,3,97,0
pklot_stage_k_007,stage_k_candidate_no_predictions,pucpr,sunny,2012-10-15,2012-10-15T08_40_47Z,pucpr/2012-10-15,images/pucpr/2012-10-15/2012-10-15_08_40_47.jpg,xml/pucpr/2012-10-15/2012-10-15_08_40_47.xml,PKLot/parking2/sunny/2012-10-15/2012-10-15_08_40_47.jpg,PKLot/parking2/sunny/2012-10-15/2012-10-15_08_40_47.xml,333345,2188eea36ca1b3adcc894164c57bdc354fbbce8eac8a64f69007cc3caa838ff0,33530,46865c0f2c654d0c343c05919e14b886cf3040f0101a86c8cea3964311ded807,1280,720,100,3,97,0
pklot_stage_k_008,stage_k_candidate_no_predictions,pucpr,sunny,2012-10-15,2012-10-15T09_10_49Z,pucpr/2012-10-15,images/pucpr/2012-10-15/2012-10-15_09_10_49.jpg,xml/pucpr/2012-10-15/2012-10-15_09_10_49.xml,PKLot/parking2/sunny/2012-10-15/2012-10-15_09_10_49.jpg,PKLot/parking2/sunny/2012-10-15/2012-10-15_09_10_49.xml,318657,4603a43a39f68f5de183442c6926f72c6f4696f54cc71c8073b7021781a4edeb,33530,46865c0f2c654d0c343c05919e14b886cf3040f0101a86c8cea3964311ded807,1280,720,100,3,97,0
pklot_stage_k_009,stage_k_candidate_no_predictions,pucpr,sunny,2012-10-15,2012-10-15T09_25_50Z,pucpr/2012-10-15,images/pucpr/2012-10-15/2012-10-15_09_25_50.jpg,xml/pucpr/2012-10-15/2012-10-15_09_25_50.xml,PKLot/parking2/sunny/2012-10-15/2012-10-15_09_25_50.jpg,PKLot/parking2/sunny/2012-10-15/2012-10-15_09_25_50.xml,340325,7d3f7274bf157c5b125c4196179cf86f545e433f1791137297dfe1405c6fc01c,33530,46865c0f2c654d0c343c05919e14b886cf3040f0101a86c8cea3964311ded807,1280,720,100,3,97,0
pklot_stage_k_010,stage_k_candidate_no_predictions,pucpr,sunny,2012-10-15,2012-10-15T09_40_50Z,pucpr/2012-10-15,images/pucpr/2012-10-15/2012-10-15_09_40_50.jpg,xml/pucpr/2012-10-15/2012-10-15_09_40_50.xml,PKLot/parking2/sunny/2012-10-15/2012-10-15_09_40_50.jpg,PKLot/parking2/sunny/2012-10-15/2012-10-15_09_40_50.xml,341385,88426f9a5b1596c72bb5320a9adac593dfe56dc6a32d94c1e8853c24e7128d96,33530,46865c0f2c654d0c343c05919e14b886cf3040f0101a86c8cea3964311ded807,1280,720,100,3,97,0
pklot_stage_k_011,stage_k_candidate_no_predictions,pucpr,sunny,2012-10-15,2012-10-15T10_00_51Z,pucpr/2012-10-15,images/pucpr/2012-10-15/2012-10-15_10_00_51.jpg,xml/pucpr/2012-10-15/2012-10-15_10_00_51.xml,PKLot/parking2/sunny/2012-10-15/2012-10-15_10_00_51.jpg,PKLot/parking2/sunny/2012-10-15/2012-10-15_10_00_51.xml,341167,744d868263b9fbea08fd72608a42c810bc03f57c0d0758f1d1b9de8acaf8414b,33530,e1ea9227cde21d2649a32018da4f48d3c2a5176e2aa0a85fd59a8a8bd0e27f3d,1280,720,100,4,96,0
pklot_stage_k_012,stage_k_candidate_no_predictions,pucpr,sunny,2012-10-15,2012-10-15T10_10_51Z,pucpr/2012-10-15,images/pucpr/2012-10-15/2012-10-15_10_10_51.jpg,xml/pucpr/2012-10-15/2012-10-15_10_10_51.xml,PKLot/parking2/sunny/2012-10-15/2012-10-15_10_10_51.jpg,PKLot/parking2/sunny/2012-10-15/2012-10-15_10_10_51.xml,342278,09e92f96a397c4c42ccd05903cae85e95af87f9ad5957e0cc4f2ba91f444873b,33530,e1ea9227cde21d2649a32018da4f48d3c2a5176e2aa0a85fd59a8a8bd0e27f3d,1280,720,100,4,96,0
pklot_stage_k_013,stage_k_candidate_no_predictions,pucpr,sunny,2012-10-15,2012-10-15T11_55_56Z,pucpr/2012-10-15,images/pucpr/2012-10-15/2012-10-15_11_55_56.jpg,xml/pucpr/2012-10-15/2012-10-15_11_55_56.xml,PKLot/parking2/sunny/2012-10-15/2012-10-15_11_55_56.jpg,PKLot/parking2/sunny/2012-10-15/2012-10-15_11_55_56.xml,338431,5de0f9abed8a5c7bd9939f5fe3dfcfcd2fcbed29119f0546b97a900cfce09e86,33530,6747f9ccaf4f64be10d885558a4294a42a31d37ee1447ec2b860161a067606f0,1280,720,100,4,96,0
pklot_stage_k_014,stage_k_candidate_no_predictions,pucpr,sunny,2012-10-15,2012-10-15T12_30_58Z,pucpr/2012-10-15,images/pucpr/2012-10-15/2012-10-15_12_30_58.jpg,xml/pucpr/2012-10-15/2012-10-15_12_30_58.xml,PKLot/parking2/sunny/2012-10-15/2012-10-15_12_30_58.jpg,PKLot/parking2/sunny/2012-10-15/2012-10-15_12_30_58.xml,332325,a88ee4612f0fa4b450585e263a579739f6e3c5aa34f980ae8bf57c8c78533ea4,33530,f1b76995c94f5fa00f4ed1a7fc6a2d6239127c76a0fd29b43bf6f01a9b11b585,1280,720,100,4,96,0
