sample_id,role,source,weather,date,timestamp,group_id,local_path,xml_path,archive_image_member,archive_xml_member,image_bytes,image_sha256,xml_bytes,xml_sha256,width,height,known_slots,occupied,vacant,unknown
pklot_stage_k_001,stage_k_candidate_no_predictions,pucpr,sunny,2012-09-15,2012-09-15T05_56_59Z,pucpr/2012-09-15,images/pucpr/2012-09-15/2012-09-15_05_56_59.jpg,xml/pucpr/2012-09-15/2012-09-15_05_56_59.xml,PKLot/parking2/sunny/2012-09-15/2012-09-15_05_56_59.jpg,PKLot/parking2/sunny/2012-09-15/2012-09-15_05_56_59.xml,201944,2352de7a5770dd20c5c4ed6c44e9caab673f855d386cb3018d10ff93617ded41,33530,a70edfad2453153785dc90c3186f41a7574824da7ace7ede655254855a53f5f6,1280,720,100,2,98,0
pklot_stage_k_002,stage_k_candidate_no_predictions,pucpr,sunny,2012-09-15,2012-09-15T06_17_00Z,pucpr/2012-09-15,images/pucpr/2012-09-15/2012-09-15_06_17_00.jpg,xml/pucpr/2012-09-15/2012-09-15_06_17_00.xml,PKLot/parking2/sunny/2012-09-15/2012-09-15_06_17_00.jpg,PKLot/parking2/sunny/2012-09-15/2012-09-15_06_17_00.xml,249645,937f6de2503e91764bdcf76322e002bb7d7fd44a6c52e2efb698516a0727892f,33530,a70edfad2453153785dc90c3186f41a7574824da7ace7ede655254855a53f5f6,1280,720,100,2,98,0
pklot_stage_k_003,stage_k_candidate_no_predictions,pucpr,sunny,2012-09-15,2012-09-15T06_37_01Z,pucpr/2012-09-15,images/pucpr/2012-09-15/2012-09-15_06_37_01.jpg,xml/pucpr/2012-09-15/2012-09-15_06_37_01.xml,PKLot/parking2/sunny/2012-09-15/2012-09-15_06_37_01.jpg,PKLot/parking2/sunny/2012-09-15/2012-09-15_06_37_01.xml,250523,279363c4fc5f10783b06f2a6fdc290ba9465ef1e072d34107ed8aeb0f3b87494,33530,a70edfad2453153785dc90c3186f41a7574824da7ace7ede655254855a53f5f6,1280,720,100,2,98,0
pklot_stage_k_004,stage_k_candidate_no_predictions,pucpr,sunny,2012-09-15,2012-09-15T06_47_01Z,pucpr/2012-09-15,images/pucpr/2012-09-15/2012-09-15_06_47_01.jpg,xml/pucpr/2012-09-15/2012-09-15_06_47_01.xml,PKLot/parking2/sunny/2012-09-15/2012-09-15_06_47_01.jpg,PKLot/parking2/sunny/2012-09-15/2012-09-15_06_47_01.xml,247513,e0e6ea755737a5658714cbdd746c9debe46f44cc3333770ea7617150a45dd037,33530,a70edfad2453153785dc90c3186f41a7574824da7ace7ede655254855a53f5f6,1280,720,100,2,98,0
pklot_stage_k_005,stage_k_candidate_no_predictions,pucpr,sunny,2012-09-15,2012-09-15T07_17_02Z,pucpr/2012-09-15,images/pucpr/2012-09-15/2012-09-15_07_17_02.jpg,xml/pucpr/2012-09-15/2012-09-15_07_17_02.xml,PKLot/parking2/sunny/2012-09-15/2012-09-15_07_17_02.jpg,PKLot/parking2/sunny/2012-09-15/2012-09-15_07_17_02.xml,245015,2a9b2e8c009ae0162316a0535e245b7e00dab12f50475dbdd292f6fb780b1ec5,33530,a70edfad2453153785dc90c3186f41a7574824da7ace7ede655254855a53f5f6,1280,720,100,2,98,0
pklot_stage_k_006,stage_k_candidate_no_predictions,pucpr,sunny,2012-09-15,2012-09-15T07_32_03Z,pucpr/2012-09-15,images/pucpr/2012-09-15/2012-09-15_07_32_03.jpg,xml/pucpr/2012-09-15/2012-09-15_07_32_03.xml,PKLot/parking2/sunny/2012-09-15/2012-09-15_07_32_03.jpg,PKLot/parking2/sunny/2012-09-15/2012-09-15_07_32_03.xml,246565,1a44f5ab167cae79c72da7a586b6e6daef6097a0b30272cc9c12afc07a8a026a,33530,a70edfad2453153785dc90c3186f41a7574824da7ace7ede655254855a53f5f6,1280,720,100,2,98,0
pklot_stage_k_007,stage_k_candidate_no_predictions,pucpr,sunny,2012-09-15,2012-09-15T07_47_03Z,pucpr/2012-09-15,images/pucpr/2012-09-15/2012-09-15_07_47_03.jpg,xml/pucpr/2012-09-15/2012-09-15_07_47_03.xml,PKLot/parking2/sunny/2012-09-15/2012-09-15_07_47_03.jpg,PKLot/parking2/sunny/2012-09-15/2012-09-15_07_47_03.xml,255999,364accb40413587ac592bc6ebace4e8609c162ea2a0e738a10352ff4371de990,33530,95edee542d9896373732ca91acec526657db6eda3f4b4805cd1946a3ceb1a873,1280,720,100,3,97,0
pklot_stage_k_008,stage_k_candidate_no_predictions,pucpr,sunny,2012-09-15,2012-09-15T08_27_05Z,pucpr/2012-09-15,images/pucpr/2012-09-15/2012-09-15_08_27_05.jpg,xml/pucpr/2012-09-15/2012-09-15_08_27_05.xml,PKLot/parking2/sunny/2012-09-15/2012-09-15_08_27_05.jpg,PKLot/parking2/sunny/2012-09-15/2012-09-15_08_27_05.xml,290098,75aa02b44f2d4037d1134dd242254997784ca99d88f77d660e4ebf80bfafb574,33504,10e3b956dab2a3e741b67b13b30bef4f2b54e979955556f8d758e51791d01244,1280,720,98,15,83,2
pklot_stage_k_009,stage_k_candidate_no_predictions,pucpr,sunny,2012-09-15,2012-09-15T08_42_05Z,pucpr/2012-09-15,images/pucpr/2012-09-15/2012-09-15_08_42_05.jpg,xml/pucpr/2012-09-15/2012-09-15_08_42_05.xml,PKLot/parking2/sunny/2012-09-15/2012-09-15_08_42_05.jpg,PKLot/parking2/sunny/2012-09-15/2012-09-15_08_42_05.xml,349790,505e93fabf783c1e4bbf6cf984a0419eb866b00056f79c5385a6f09094919fa0,33530,50f23325b1925afdd35b173f0708673e31e3033c757456a6a149644d3e6ac363,1280,720,100,27,73,0
pklot_stage_k_010,stage_k_candidate_no_predictions,pucpr,sunny,2012-09-15,2012-09-15T08_57_06Z,pucpr/2012-09-15,images/pucpr/2012-09-15/2012-09-15_08_57_06.jpg,xml/pucpr/2012-09-15/2012-09-15_08_57_06.xml,PKLot/parking2/sunny/2012-09-15/2012-09-15_08_57_06.jpg,PKLot/parking2/sunny/2012-09-15/2012-09-15_08_57_06.xml,332344,1441803d9ca2222345af1be374b6b095ccd99bf0c8cff7953f69ff23beee5b58,33517,b5b22a5e67cec1b692d0a4ed967c5fbc784d456103432f5c57f7e238134279a3,1280,720,99,35,64,1
