sample_id,role,source,date,weather,local_path,image_bytes,image_sha256,slots,known_slots,occupied,vacant,unknown
pklot_dev_001,consumed_development,pucpr,2012-10-16,cloudy,data/raw/pklot/images/pucpr/2012-10-16_07_26_46.jpg,349195,de17c03f641df869e258ef96afb1eb8baccc986b123e35ac08d802a6ec8d6452,100,100,21,79,0
pklot_dev_002,consumed_development,pucpr,2012-09-28,cloudy,data/raw/pklot/images/pucpr/2012-09-28_12_26_15.jpg,351648,26b6025679db31b4c28714d087bacf3d09d588b5f6d4c41828e4d3999b099b1b,100,100,50,50,0
pklot_dev_003,consumed_development,pucpr,2012-10-31,cloudy,data/raw/pklot/images/pucpr/2012-10-31_10_08_09.jpg,425816,79324cde5b40fef0b0ec203a15962cf1e98e8dc3f32824f95ec72b202756196d,100,100,80,20,0
pklot_dev_004,consumed_development,pucpr,2012-11-10,rainy,data/raw/pklot/images/pucpr/2012-11-10_08_22_43.jpg,391276,ee27780539a4cd75359b67e6050878ffed75d2a012217f818e7b372794c7d562,100,100,20,80,0
pklot_dev_005,consumed_development,pucpr,2012-09-21,rainy,data/raw/pklot/images/pucpr/2012-09-21_13_45_29.jpg,313507,9351523f6df1b7924cd8281fddd8c1e8f1f3e5aa18ce96611ef2f0c8e1daed54,100,100,50,50,0
pklot_dev_006,consumed_development,pucpr,2012-10-25,rainy,data/raw/pklot/images/pucpr/2012-10-25_15_18_40.jpg,383553,da3edfe98c470237b833a155df84dc74b37cf4b27ca1a7bff700b580a5273569,100,100,80,20,0
pklot_dev_007,consumed_development,pucpr,2012-10-27,sunny,data/raw/pklot/images/pucpr/2012-10-27_13_05_56.jpg,346482,94cc10a7f46a4995d70e1f60f882e5fc0cf8388599e3c150ef403f67d09af6a7,100,100,20,80,0
pklot_dev_008,consumed_development,pucpr,2012-09-13,sunny,data/raw/pklot/images/pucpr/2012-09-13_13_45_25.jpg,326854,7e1b8bdf4720dc92ea0a9cc4e313a42401aa4c5076a7606b58a799d8ca2598de,100,100,50,50,0
pklot_dev_009,consumed_development,pucpr,2012-09-12,sunny,data/raw/pklot/images/pucpr/2012-09-12_11_29_52.jpg,391860,6da51c144901c7893f04b4a6b3a38c16e1bc91083d893264391439cbcb1aaa79,100,100,80,20,0
pklot_dev_010,consumed_development,ufpr04,2012-12-15,cloudy,data/raw/pklot/images/ufpr04/2012-12-15_09_35_05.jpg,284319,901b82d7baa3f9a222b6501b7e3d42c37380025a1219f1d960109888c74f8c9d,28,28,6,22,0
pklot_dev_011,consumed_development,ufpr04,2013-01-15,cloudy,data/raw/pklot/images/ufpr04/2013-01-15_15_31_53.jpg,303104,e72e26ac7be5624a7fa76287109ff8ec59a93c34ea2c363b142160ce2013313a,28,28,14,14,0
pklot_dev_012,consumed_development,ufpr04,2012-12-14,cloudy,data/raw/pklot/images/ufpr04/2012-12-14_12_40_08.jpg,306133,4a5359d4b8d4fcf72e2c11ec57b7f3d083c791c3024bf7987fd89d51e1213aa8,28,28,22,6,0
pklot_dev_013,consumed_development,ufpr04,2013-01-17,rainy,data/raw/pklot/images/ufpr04/2013-01-17_09_20_05.jpg,287131,ac264ef9e83273f8a0b1beb59fa75707c687019d5163f4d498e83546dc9c5501,28,26,5,21,2
