sequence_id,split,image_id,frame_index,timestamp_s,camera_view,annotations,remote_path,download_url,local_path
stream_gbassinexch1.stream_2023-02-16_13-30-33,development,1,0,0.000,aerial,439,stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0000000.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0000000.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0000000.jpg
stream_gbassinexch1.stream_2023-02-16_13-30-33,development,2,15,0.500,aerial,445,stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0000015.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0000015.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0000015.jpg
stream_gbassinexch1.stream_2023-02-16_13-30-33,development,3,30,1.000,aerial,443,stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0000030.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0000030.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0000030.jpg
stream_gbassinexch1.stream_2023-02-16_13-30-33,development,4,45,1.500,aerial,446,stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0000045.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0000045.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0000045.jpg
stream_gbassinexch1.stream_2023-02-16_13-30-33,development,5,60,2.000,aerial,428,stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0000060.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0000060.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0000060.jpg
stream_gbassinexch1.stream_2023-02-16_13-30-33,development,6,75,2.500,aerial,441,stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0000075.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0000075.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0000075.jpg
stream_gbassinexch1.stream_2023-02-16_13-30-33,development,7,90,3.000,aerial,444,stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0000090.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0000090.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0000090.jpg
stream_gbassinexch1.stream_2023-02-16_13-30-33,development,8,105,3.500,aerial,441,stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0000105.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0000105.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0000105.jpg
stream_gbassinexch1.stream_2023-02-16_13-30-33,development,9,120,4.000,aerial,442,stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0000120.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0000120.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0000120.jpg
stream_gbassinexch1.stream_2023-02-16_13-30-33,development,10,135,4.500,aerial,431,stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0000135.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0000135.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0000135.jpg
stream_gbassinexch1.stream_2023-02-16_13-30-33,development,11,150,5.000,aerial,435,stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0000150.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0000150.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0000150.jpg
stream_gbassinexch1.stream_2023-02-16_13-30-33,development,12,165,5.500,aerial,436,stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0000165.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0000165.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0000165.jpg
stream_gbassinexch1.stream_2023-02-16_13-30-33,development,13,180,6.000,aerial,430,stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0000180.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0000180.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_13-30-33/a96d32bc_f0000180.jpg
