sequence_id,split,image_id,frame_index,timestamp_s,camera_view,annotations,remote_path,download_url,local_path
stream_gbassinexch1.stream_2023-02-16_16-34-07,development,1208,0,0.000,aerial,355,stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0000000.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0000000.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0000000.jpg
stream_gbassinexch1.stream_2023-02-16_16-34-07,development,1209,12,0.500,aerial,356,stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0000012.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0000012.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0000012.jpg
stream_gbassinexch1.stream_2023-02-16_16-34-07,development,1210,24,1.000,aerial,357,stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0000024.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0000024.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0000024.jpg
stream_gbassinexch1.stream_2023-02-16_16-34-07,development,1211,36,1.500,aerial,351,stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0000036.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0000036.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0000036.jpg
stream_gbassinexch1.stream_2023-02-16_16-34-07,development,1212,48,2.000,aerial,356,stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0000048.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0000048.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0000048.jpg
stream_gbassinexch1.stream_2023-02-16_16-34-07,development,1213,60,2.500,aerial,361,stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0000060.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0000060.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0000060.jpg
stream_gbassinexch1.stream_2023-02-16_16-34-07,development,1214,72,3.000,aerial,356,stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0000072.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0000072.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0000072.jpg
stream_gbassinexch1.stream_2023-02-16_16-34-07,development,1215,84,3.500,aerial,363,stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0000084.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0000084.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0000084.jpg
stream_gbassinexch1.stream_2023-02-16_16-34-07,development,1216,96,4.000,aerial,358,stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0000096.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0000096.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0000096.jpg
stream_gbassinexch1.stream_2023-02-16_16-34-07,development,1217,108,4.500,aerial,356,stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0000108.jpg,https://huggingface.co/datasets/shivam11/grand-bassin-traffic/resolve/main/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0000108.jpg?download=true,data/raw/grand_bassin/images/stream_gbassinexch1.stream_2023-02-16_16-34-07/25edd9b3_f0000108.jpg
