sample_id,split,source,weather,date,timestamp,group_id,selection_target_occupancy,occupancy_ratio,known_slots,occupied,vacant,unknown,width,height,remote_path,download_url,local_path
pklot_dev_001,development,pucpr,cloudy,2012-10-16,2012-10-16T07:26:46Z,pucpr/2012-10-16,0.2,0.210000,100,21,79,0,1280,720,data/data_2/2012-10-16_07_26_46.jpg,https://huggingface.co/datasets/Voxel51/PKLot/resolve/main/data/data_2/2012-10-16_07_26_46.jpg?download=true,data/raw/pklot/images/pucpr/2012-10-16_07_26_46.jpg
pklot_dev_002,development,pucpr,cloudy,2012-09-28,2012-09-28T12:26:15Z,pucpr/2012-09-28,0.5,0.500000,100,50,50,0,1280,720,data/data_2/2012-09-28_12_26_15.jpg,https://huggingface.co/datasets/Voxel51/PKLot/resolve/main/data/data_2/2012-09-28_12_26_15.jpg?download=true,data/raw/pklot/images/pucpr/2012-09-28_12_26_15.jpg
pklot_dev_003,development,pucpr,cloudy,2012-10-31,2012-10-31T10:08:09Z,pucpr/2012-10-31,0.8,0.800000,100,80,20,0,1280,720,data/data_3/2012-10-31_10_08_09.jpg,https://huggingface.co/datasets/Voxel51/PKLot/resolve/main/data/data_3/2012-10-31_10_08_09.jpg?download=true,data/raw/pklot/images/pucpr/2012-10-31_10_08_09.jpg
pklot_dev_004,development,pucpr,rainy,2012-11-10,2012-11-10T08:22:43Z,pucpr/2012-11-10,0.2,0.200000,100,20,80,0,1280,720,data/data_4/2012-11-10_08_22_43.jpg,https://huggingface.co/datasets/Voxel51/PKLot/resolve/main/data/data_4/2012-11-10_08_22_43.jpg?download=true,data/raw/pklot/images/pucpr/2012-11-10_08_22_43.jpg
pklot_dev_005,development,pucpr,rainy,2012-09-21,2012-09-21T13:45:29Z,pucpr/2012-09-21,0.5,0.500000,100,50,50,0,1280,720,data/data_3/2012-09-21_13_45_29.jpg,https://huggingface.co/datasets/Voxel51/PKLot/resolve/main/data/data_3/2012-09-21_13_45_29.jpg?download=true,data/raw/pklot/images/pucpr/2012-09-21_13_45_29.jpg
pklot_dev_006,development,pucpr,rainy,2012-10-25,2012-10-25T15:18:40Z,pucpr/2012-10-25,0.8,0.800000,100,80,20,0,1280,720,data/data_3/2012-10-25_15_18_40.jpg,https://huggingface.co/datasets/Voxel51/PKLot/resolve/main/data/data_3/2012-10-25_15_18_40.jpg?download=true,data/raw/pklot/images/pucpr/2012-10-25_15_18_40.jpg
pklot_dev_007,development,pucpr,sunny,2012-10-27,2012-10-27T13:05:56Z,pucpr/2012-10-27,0.2,0.200000,100,20,80,0,1280,720,data/data_2/2012-10-27_13_05_56.jpg,https://huggingface.co/datasets/Voxel51/PKLot/resolve/main/data/data_2/2012-10-27_13_05_56.jpg?download=true,data/raw/pklot/images/pucpr/2012-10-27_13_05_56.jpg
pklot_dev_008,development,pucpr,sunny,2012-09-13,2012-09-13T13:45:25Z,pucpr/2012-09-13,0.5,0.500000,100,50,50,0,1280,720,data/data_1/2012-09-13_13_45_25.jpg,https://huggingface.co/datasets/Voxel51/PKLot/resolve/main/data/data_1/2012-09-13_13_45_25.jpg?download=true,data/raw/pklot/images/pucpr/2012-09-13_13_45_25.jpg
pklot_dev_009,development,pucpr,sunny,2012-09-12,2012-09-12T11:29:52Z,pucpr/2012-09-12,0.8,0.800000,100,80,20,0,1280,720,data/data_1/2012-09-12_11_29_52.jpg,https://huggingface.co/datasets/Voxel51/PKLot/resolve/main/data/data_1/2012-09-12_11_29_52.jpg?download=true,data/raw/pklot/images/pucpr/2012-09-12_11_29_52.jpg
pklot_dev_010,development,ufpr04,cloudy,2012-12-15,2012-12-15T09:35:05Z,ufpr04/2012-12-15,0.2,0.214286,28,6,22,0,1280,720,data/data_7/2012-12-15_09_35_05.jpg,https://huggingface.co/datasets/Voxel51/PKLot/resolve/main/data/data_7/2012-12-15_09_35_05.jpg?download=true,data/raw/pklot/images/ufpr04/2012-12-15_09_35_05.jpg
