sequence_id,image_count,truth_count,image_truth_one_to_one,images_without_truth,truth_without_images,vector_length,binary_vectors_only,occupied_labels,vacant_labels,transition_frames,slot_state_changes,file_names_naturally_sortable,image_formats,resolutions,sample_names,sample_luminance,median_sample_luminance,auxiliary_low_light_candidate,timestamp_available,reliable_fps_available
gopro1,117,117,True,0,0,21,True,1274,1183,20,41,True,.jpg,800x600,100GOPRO-GOPR0363.JPG|100GOPRO-GOPR0613.JPG|100GOPRO-GOPR0944.JPG|100GOPRO-GOPR1233.JPG|100GOPRO-GOPR1630.JPG,97.95938333333334|102.09840208333334|114.18733958333333|114.59505833333333|46.233189583333335,102.09840208333334,False,False,False
gopro2,115,115,True,0,0,21,True,1356,1059,16,32,True,.jpg,800x600,100GOPRO-GOPR2479.JPG|100GOPRO-GOPR2767.JPG|100GOPRO-GOPR3179.JPG|100GOPRO-GOPR3475.JPG|100GOPRO-GOPR3722.JPG,21.29868125|120.1657875|85.508675|93.45864791666666|77.45548958333333,85.508675,False,False,False
gopro4,124,124,True,0,0,21,True,1335,1269,20,29,True,.jpg,800x600,100GOPRO-GOPR4306.JPG|100GOPRO-GOPR4666.JPG|100GOPRO-GOPR4970.JPG|100GOPRO-GOPR5216.JPG|100GOPRO-GOPR5538.JPG,114.83417708333333|80.57077708333334|88.77085|98.32909166666667|48.3765375,88.77085,False,False,False
gopro5,73,73,True,0,0,21,True,142,1391,8,20,True,.jpg,800x600,100GOPRO-GOPR6404.JPG|100GOPRO-GOPR6530.JPG|100GOPRO-GOPR6707.JPG|100GOPRO-GOPR7692.JPG|100GOPRO-GOPR7897.JPG,48.62328333333333|107.81831041666666|121.01039583333333|51.300327083333336|48.715741666666666,51.300327083333336,True,False,False
gopro8,87,87,True,0,0,21,True,401,1426,14,29,True,.jpg,800x600,101GOPRO-GOPR3630.JPG|101GOPRO-GOPR3836.JPG|101GOPRO-GOPR4544.JPG|101GOPRO-GOPR4690.JPG|101GOPRO-GOPR4942.JPG,48.64924791666667|120.23362291666666|113.61079166666667|120.58956041666667|52.0549875,113.61079166666667,False,False,False
gopro9,114,114,True,0,0,21,True,1069,1325,22,40,True,.jpg,800x600,101GOPRO-GOPR6007.JPG|101GOPRO-GOPR6355.JPG|101GOPRO-GOPR6638.JPG|101GOPRO-GOPR6942.JPG|101GOPRO-GOPR7238.JPG,61.867066666666666|116.14999583333334|115.70435833333333|59.83707916666667|43.53007916666667,61.867066666666666,True,False,False
gopro10,67,35,False,32,0,21,True,167,568,4,12,True,.jpg,800x600,101GOPRO-GOPR8182.JPG|101GOPRO-GOPR8244.JPG|101GOPRO-GOPR8503.JPG|101GOPRO-GOPR8577.JPG|101GOPRO-GOPR8671.JPG,112.85735833333334|109.30861666666667|40.705375|40.57111666666667|41.415252083333336,41.415252083333336,True,False,False
gopro11,135,135,True,0,0,21,True,1140,1695,26,40,True,.jpg,800x600,101GOPRO-GOPR9620.JPG|101GOPRO-GOPR9878.JPG|102GOPRO-GOPR0304.JPG|102GOPRO-GOPR0561.JPG|102GOPRO-GOPR0994.JPG,72.84532708333333|116.44392291666666|101.26559583333334|115.78881458333333|38.50381041666667,101.26559583333334,False,False,False
gopro12,124,124,True,0,0,21,True,1345,1259,27,47,True,.jpg,800x600,102GOPRO-GOPR1935.JPG|102GOPRO-GOPR2327.JPG|102GOPRO-GOPR2666.JPG|102GOPRO-GOPR2917.JPG|102GOPRO-GOPR3302.JPG,74.40777916666667|119.08279791666666|120.47823333333334|122.17642291666667|40.036991666666665,119.08279791666666,False,False,False
gopro19,118,118,True,0,0,21,True,1548,930,20,35,True,.jpg,800x600,103GOPRO-GOPR7472.JPG|103GOPRO-GOPR7789.JPG|103GOPRO-GOPR8064.JPG|103GOPRO-GOPR8366.JPG|103GOPRO-GOPR8619.JPG,47.507672916666664|113.47173333333333|113.7640375|112.19895|81.66983541666667,112.19895,False,False,False
gopro23,198,198,True,0,0,21,True,2248,1910,32,69,True,.jpg,800x600,104GOPRO-GOPR1993.JPG|104GOPRO-GOPR2423.JPG|104GOPRO-GOPR2889.JPG|104GOPRO-GOPR3576.JPG|104GOPRO-GOPR5287.JPG,120.63881041666667|111.84780625|97.78576875|55.67053541666667|114.65900625,111.84780625,False,False,False
gopro24,86,86,True,0,0,21,True,1044,762,22,30,True,.jpg,800x600,104GOPRO-GOPR5299.JPG|104GOPRO-GOPR5464.JPG|104GOPRO-GOPR5756.JPG|104GOPRO-GOPR5960.JPG|104GOPRO-GOPR6154.JPG,88.52922083333333|100.40689375|107.46344791666667|48.31208125|43.382241666666665,88.52922083333333,False,False,False
