detector,method_id,component,pipeline,prediction_field,scope_type,scope_id,samples,frames,truth_occupied,truth_vacant,tp,tn,fp,fn,macro_f1,occupied_precision,occupied_recall,occupied_f1,vacant_precision,vacant_recall,vacant_f1,accuracy,balanced_accuracy,false_free_rate,false_occupied_rate,occupied_count_mae,occupied_count_rmse,occupied_count_mean_signed_error
D1,QV2-0,R0,B1,detector_occupied,overall,all,7896,376,798,7098,155,6946,152,643,0.6132067420722054,0.504885993485342,0.19423558897243107,0.2805429864253393,0.9152721043615759,0.9785855170470555,0.9458704977190714,0.8993161094224924,0.5864105530097433,0.8057644110275689,0.021414482952944493,1.3164893617021276,1.7976047893581626,-1.3058510638297873
D1,QV2-0,R0,B1,detector_occupied,sequence,gopro1,525,25,41,484,1,481,3,40,0.5008291873963516,0.25,0.024390243902439025,0.04444444444444444,0.9232245681381958,0.993801652892562,0.9572139303482587,0.9180952380952381,0.5090959483975005,0.975609756097561,0.006198347107438017,1.48,1.9493588689617927,-1.48
D1,QV2-0,R0,B1,detector_occupied,sequence,gopro11,525,25,70,455,15,439,16,55,0.6111070538033783,0.4838709677419355,0.21428571428571427,0.297029702970297,0.888663967611336,0.9648351648351648,0.9251844046364595,0.8647619047619047,0.5895604395604396,0.7857142857142857,0.035164835164835165,1.56,1.9078784028338913,-1.56
D1,QV2-0,R0,B1,detector_occupied,sequence,gopro12,567,27,52,515,26,513,2,26,0.8117172675521822,0.9285714285714286,0.5,0.65,0.9517625231910947,0.996116504854369,0.9734345351043644,0.9506172839506173,0.7480582524271845,0.5,0.003883495145631068,0.9629629629629629,1.5869840952317444,-0.8888888888888888
D1,QV2-0,R0,B1,detector_occupied,sequence,gopro19,42,2,4,38,0,38,0,4,0.47500000000000003,0.0,0.0,0.0,0.9047619047619048,1.0,0.9500000000000001,0.9047619047619048,0.5,1.0,0.0,2.0,2.0,-2.0
D1,QV2-0,R0,B1,detector_occupied,sequence,gopro23,945,45,150,795,26,756,39,124,0.5722735161402291,0.4,0.17333333333333334,0.2418604651162791,0.8590909090909091,0.9509433962264151,0.9026865671641792,0.8275132275132275,0.5621383647798742,0.8266666666666667,0.04905660377358491,1.8888888888888888,2.507765716507204,-1.8888888888888888
D1,QV2-0,R0,B1,detector_occupied,sequence,gopro24,630,30,101,529,18,485,44,83,0.5525443065583214,0.2903225806451613,0.1782178217821782,0.22085889570552147,0.8538732394366197,0.9168241965973535,0.8842297174111213,0.7984126984126985,0.5475210091897659,0.8217821782178217,0.0831758034026465,1.3,1.4259499757471625,-1.3
D1,QV2-0,R0,B1,detector_occupied,sequence,gopro25,63,3,19,44,1,39,5,18,0.42613861386138613,0.16666666666666666,0.05263157894736842,0.08,0.6842105263157895,0.8863636363636364,0.7722772277227723,0.6349206349206349,0.4694976076555024,0.9473684210526315,0.11363636363636363,4.333333333333333,4.358898943540674,-4.333333333333333
D1,QV2-0,R0,B1,detector_occupied,sequence,gopro26,588,28,40,548,17,547,1,23,0.7823699956819443,0.9444444444444444,0.425,0.5862068965517241,0.9596491228070175,0.9981751824817519,0.9785330948121647,0.9591836734693877,0.7115875912408759,0.575,0.0018248175182481751,0.7857142857142857,1.164964745021435,-0.7857142857142857
D1,QV2-0,R0,B1,detector_occupied,sequence,gopro30,42,2,2,40,0,40,0,2,0.4878048780487805,0.0,0.0,0.0,0.9523809523809523,1.0,0.975609756097561,0.9523809523809523,0.5,1.0,0.0,1.0,1.4142135623730951,-1.0
