detector,scope_type,scope_id,transition,definition,delta_tp,delta_tn,delta_fp,delta_fn,delta_macro_f1,delta_occupied_precision,delta_occupied_recall,delta_occupied_f1,delta_vacant_precision,delta_vacant_recall,delta_vacant_f1,delta_accuracy,delta_balanced_accuracy,delta_false_free_rate,delta_false_occupied_rate,delta_occupied_count_mae,delta_occupied_count_rmse,delta_occupied_count_mean_signed_error
D1,overall,all,R0_to_R1,signed_absolute_change_target_minus_source,141.0,-38.0,38.0,-141.0,0.09347394199768577,0.10416750445704481,0.17669172932330826,0.18051620360581333,0.01698160683950367,-0.005353620738236198,0.006431680389558325,0.013044579533941225,0.08566905429253602,-0.17669172932330823,0.0053536207382361214,-0.3537234042553191,-0.4727202098810783,0.47606382978723416
D1,overall,all,R1_to_R2,signed_absolute_change_target_minus_source,60.0,-420.0,420.0,-60.0,-0.04236306081300367,-0.24052347723845308,0.07518796992481203,-0.057431072117320514,0.003965625018256591,-0.059171597633136064,-0.027295049508686775,-0.045592705167173286,0.008008186145837981,-0.07518796992481203,0.05917159763313609,0.3670212765957447,0.41176663674582525,1.2765957446808511
D1,sequence,gopro1,R0_to_R1,signed_absolute_change_target_minus_source,3.0,0.0,0.0,-3.0,0.06254406609666241,0.3214285714285714,0.07317073170731708,0.12222222222222225,0.005346860433232847,0.0,0.002865909971102587,0.005714285714285783,0.03658536585365857,-0.07317073170731703,0.0,-0.11999999999999988,-0.22889381555326738,0.11999999999999988
D1,sequence,gopro1,R1_to_R2,signed_absolute_change_target_minus_source,0.0,-13.0,13.0,0.0,-0.02459422516501253,-0.3714285714285714,0.0,-0.03551912568306012,-0.0018387553041018245,-0.02685950413223137,-0.013669324646964909,-0.024761904761904763,-0.013429752066115741,0.0,0.026859504132231406,-0.28,-0.21049816635437546,0.5200000000000001
D1,sequence,gopro11,R0_to_R1,signed_absolute_change_target_minus_source,18.0,-9.0,9.0,-18.0,0.11308288654369325,0.08509454949944384,0.2571428571428571,0.21859529702970298,0.0321069103329894,-0.01978021978021982,0.007570476057683573,0.017142857142857126,0.11868131868131859,-0.2571428571428571,0.01978021978021978,-0.92,-0.9280825057206201,1.08
D1,sequence,gopro11,R1_to_R2,signed_absolute_change_target_minus_source,11.0,-54.0,54.0,-11.0,-0.05747087577067833,-0.21124194000560698,0.15714285714285714,-0.05966645077720201,0.014552505140251637,-0.1186813186813187,-0.05527530076415477,-0.08190476190476181,0.019230769230769273,-0.15714285714285714,0.11868131868131868,1.88,1.6810310420167431,2.6
D1,sequence,gopro12,R0_to_R1,signed_absolute_change_target_minus_source,7.0,0.0,0.0,-7.0,0.05756442398027506,0.014285714285714235,0.13461538461538458,0.10862068965517235,0.012523191094619635,0.0,0.006508158305377876,0.012345679012345623,0.06730769230769229,-0.13461538461538464,0.0,-0.2592592592592592,-0.481442498446611,0.2592592592592592
D1,sequence,gopro12,R1_to_R2,signed_absolute_change_target_minus_source,0.0,-40.0,40.0,0.0,-0.13972715595863927,-0.5028571428571429,0.0,-0.23893565028509356,-0.0029036004645760505,-0.07766990291262144,-0.04051866163218509,-0.07054673721340388,-0.03883495145631077,0.0,0.07766990291262137,0.2962962962962963,0.06508659797628202,1.4814814814814814
D1,sequence,gopro19,R0_to_R1,signed_absolute_change_target_minus_source,1.0,0.0,0.0,-1.0,0.20601265822784814,1.0,0.25,0.4,0.022067363530778206,0.0,0.012025316455696267,0.023809523809523836,0.125,-0.25,0.0,-0.5,-0.41886116991581024,0.5
D1,sequence,gopro19,R1_to_R2,signed_absolute_change_target_minus_source,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
