detector,component_transition,error_transition,count
D1,R0_to_R1,FN_to_FN,502
D1,R0_to_R1,FN_to_TP,141
D1,R0_to_R1,FP_to_FP,152
D1,R0_to_R1,TN_to_FP,38
D1,R0_to_R1,TN_to_TN,6908
D1,R0_to_R1,TP_to_TP,155
D1,R1_to_R2,FN_to_FN,432
D1,R1_to_R2,FN_to_TP,70
D1,R1_to_R2,FP_to_FP,187
D1,R1_to_R2,FP_to_TN,3
D1,R1_to_R2,TN_to_FP,423
D1,R1_to_R2,TN_to_TN,6485
D1,R1_to_R2,TP_to_FN,10
D1,R1_to_R2,TP_to_TP,286
D1-LL,R0_to_R1,FN_to_FN,492
D1-LL,R0_to_R1,FN_to_TP,124
D1-LL,R0_to_R1,FP_to_FP,396
D1-LL,R0_to_R1,TN_to_FP,35
D1-LL,R0_to_R1,TN_to_TN,6667
D1-LL,R0_to_R1,TP_to_TP,182
D1-LL,R1_to_R2,FN_to_FN,424
D1-LL,R1_to_R2,FN_to_TP,68
D1-LL,R1_to_R2,FP_to_FP,429
D1-LL,R1_to_R2,FP_to_TN,2
D1-LL,R1_to_R2,TN_to_FP,560
D1-LL,R1_to_R2,TN_to_TN,6107
D1-LL,R1_to_R2,TP_to_FN,9
D1-LL,R1_to_R2,TP_to_TP,297
