record_type,sequence_id,detector,metric,value,details
gap_distribution,,,source_frame_gap_1,350,within-sequence adjacent selected frames
gap_distribution,,,source_frame_gap_2,1,within-sequence adjacent selected frames
gap_distribution,,,source_frame_gap_18,1,within-sequence adjacent selected frames
gap_distribution,,,source_frame_gap_41,1,within-sequence adjacent selected frames
gap_distribution,,,source_frame_gap_68,1,within-sequence adjacent selected frames
gap_distribution,,,source_frame_gap_82,1,within-sequence adjacent selected frames
gap_distribution,,,source_frame_gap_85,1,within-sequence adjacent selected frames
gap_distribution,,,source_frame_gap_97,1,within-sequence adjacent selected frames
gap_distribution,,,source_frame_gap_133,1,within-sequence adjacent selected frames
gap_distribution,,,source_frame_gap_136,1,within-sequence adjacent selected frames
per_sequence,gopro1,,selected_frames,25,
per_sequence,gopro1,,adjacent_selected_boundaries,24,
per_sequence,gopro1,,gap_1_boundaries,24,
per_sequence,gopro1,,gap_gt_1_boundaries,0,
per_sequence,gopro1,,maximum_gap_frames,1,
per_sequence,gopro1,,continuous_segment_count,1,
per_sequence,gopro11,,selected_frames,25,
per_sequence,gopro11,,adjacent_selected_boundaries,24,
per_sequence,gopro11,,gap_1_boundaries,24,
per_sequence,gopro11,,gap_gt_1_boundaries,0,
per_sequence,gopro11,,maximum_gap_frames,1,
per_sequence,gopro11,,continuous_segment_count,1,
per_sequence,gopro12,,selected_frames,27,
per_sequence,gopro12,,adjacent_selected_boundaries,26,
per_sequence,gopro12,,gap_1_boundaries,25,
per_sequence,gopro12,,gap_gt_1_boundaries,1,
per_sequence,gopro12,,maximum_gap_frames,97,
per_sequence,gopro12,,continuous_segment_count,1,
per_sequence,gopro19,,selected_frames,2,
per_sequence,gopro19,,adjacent_selected_boundaries,1,
per_sequence,gopro19,,gap_1_boundaries,1,
per_sequence,gopro19,,gap_gt_1_boundaries,0,
per_sequence,gopro19,,maximum_gap_frames,1,
per_sequence,gopro19,,continuous_segment_count,1,
per_sequence,gopro23,,selected_frames,45,
per_sequence,gopro23,,adjacent_selected_boundaries,44,
per_sequence,gopro23,,gap_1_boundaries,43,
per_sequence,gopro23,,gap_gt_1_boundaries,1,
per_sequence,gopro23,,maximum_gap_frames,18,
per_sequence,gopro23,,continuous_segment_count,2,
per_sequence,gopro24,,selected_frames,30,
per_sequence,gopro24,,adjacent_selected_boundaries,29,
per_sequence,gopro24,,gap_1_boundaries,28,
per_sequence,gopro24,,gap_gt_1_boundaries,1,
per_sequence,gopro24,,maximum_gap_frames,2,
per_sequence,gopro24,,continuous_segment_count,2,
per_sequence,gopro25,,selected_frames,3,
per_sequence,gopro25,,adjacent_selected_boundaries,2,
per_sequence,gopro25,,gap_1_boundaries,2,
per_sequence,gopro25,,gap_gt_1_boundaries,0,
per_sequence,gopro25,,maximum_gap_frames,1,
per_sequence,gopro25,,continuous_segment_count,1,
per_sequence,gopro26,,selected_frames,28,
per_sequence,gopro26,,adjacent_selected_boundaries,27,
per_sequence,gopro26,,gap_1_boundaries,27,
per_sequence,gopro26,,gap_gt_1_boundaries,0,
per_sequence,gopro26,,maximum_gap_frames,1,
per_sequence,gopro26,,continuous_segment_count,1,
per_sequence,gopro30,,selected_frames,2,
per_sequence,gopro30,,adjacent_selected_boundaries,1,
per_sequence,gopro30,,gap_1_boundaries,1,
per_sequence,gopro30,,gap_gt_1_boundaries,0,
per_sequence,gopro30,,maximum_gap_frames,1,
per_sequence,gopro30,,continuous_segment_count,1,
per_sequence,gopro33,,selected_frames,16,
per_sequence,gopro33,,adjacent_selected_boundaries,15,
per_sequence,gopro33,,gap_1_boundaries,15,
per_sequence,gopro33,,gap_gt_1_boundaries,0,
per_sequence,gopro33,,maximum_gap_frames,1,
per_sequence,gopro33,,continuous_segment_count,1,
per_sequence,gopro34,,selected_frames,26,
per_sequence,gopro34,,adjacent_selected_boundaries,25,
per_sequence,gopro34,,gap_1_boundaries,24,
per_sequence,gopro34,,gap_gt_1_boundaries,1,
per_sequence,gopro34,,maximum_gap_frames,133,
per_sequence,gopro34,,continuous_segment_count,2,
per_sequence,gopro36,,selected_frames,2,
per_sequence,gopro36,,adjacent_selected_boundaries,1,
per_sequence,gopro36,,gap_1_boundaries,1,
per_sequence,gopro36,,gap_gt_1_boundaries,0,
per_sequence,gopro36,,maximum_gap_frames,1,
per_sequence,gopro36,,continuous_segment_count,1,
per_sequence,gopro4,,selected_frames,29,
per_sequence,gopro4,,adjacent_selected_boundaries,28,
per_sequence,gopro4,,gap_1_boundaries,28,
per_sequence,gopro4,,gap_gt_1_boundaries,0,
