path,registry_class,binding_count,included_in_submission_candidates,locally_verified,classification_reasons,sha256
implementation/data/stage_m/STAGE_M_ARTIFACT_REGISTRY_20260728.yaml,local-only historical registry,55,False,False,artifact_not_in_submission_candidates|artifact_outside_repository|ignored_runtime_outputs|machine_absolute_paths|model_weights,dd12482338df3c4b9dccac36863dd85151645a1ce7845c5fcec5fa6168b998bd
implementation/data/stage_n/STAGE_N_ARTIFACT_REGISTRY_20260728.yaml,local-only historical registry,40,False,False,artifact_not_in_submission_candidates|artifact_outside_repository|ignored_runtime_outputs|machine_absolute_paths|model_weights,dcf49cde19839918e8d6d43a7eda56c7ba610a660341d5f70e1266ac0ccfbd2c
implementation/data/stage_n_v2/STAGE_N_V2_ARTIFACT_REGISTRY_20260729.yaml,local-only historical registry,73,False,False,artifact_outside_repository|ignored_runtime_outputs|machine_absolute_paths,803412bf4258ecae423108938206f2e19cbebf31b11284856573a9984a2d464b
implementation/data/stage_n_v3/STAGE_N_V3_ARTIFACT_REGISTRY_20260729.yaml,local-only historical registry,35,False,True,artifact_not_in_submission_candidates|artifact_outside_repository|ignored_dataset_or_external_data|ignored_runtime_outputs|machine_absolute_paths,5ab04f3326286c0605f2781536c45bd0ef79bdbe2e17ccfa636ed8734c96a2e6
implementation/data/stage_o/STAGE_O_ARTIFACT_REGISTRY_20260729.yaml,local-only historical registry,213,False,False,artifact_not_in_submission_candidates|artifact_outside_repository|ignored_dataset_or_external_data|ignored_runtime_outputs|machine_absolute_paths|model_weights,efbbb63b77aefae00c1c4758b8df1dd463c2fd4a54bc32626ebf441073b87660
implementation/data/stage_p/STAGE_P_ARTIFACT_REGISTRY_20260729.yaml,local-only historical registry,39,False,True,artifact_not_in_submission_candidates|artifact_outside_repository|ignored_runtime_outputs|machine_absolute_paths|model_weights,206db0c3b9cd1a3575eeb7e5ba56a23f3f7f621caee139e61f47d9ee6efe06fa
implementation/data/stage_q/STAGE_Q_ARTIFACT_REGISTRY_20260729.yaml,local-only historical registry,18,False,True,artifact_not_in_submission_candidates|artifact_outside_repository|ignored_dataset_or_external_data|machine_absolute_paths,da6cb2b9efc9b0bcda97d1c723ec4471101fce8c0dd3bdb0c5e8e742f7e04186
implementation/data/stage_q_v2/STAGE_Q_V2_ARTIFACT_REGISTRY_20260729.yaml,local-only historical registry,819,False,True,artifact_not_in_submission_candidates|artifact_outside_repository|ignored_dataset_or_external_data|ignored_runtime_outputs|machine_absolute_paths|model_weights,003bca5f2d5c6f7c92dddd99b40d2bf7f510c63dd9004a4bbd211e069e45fd21
implementation/data/stage_r/STAGE_R_ARTIFACT_REGISTRY_20260729.yaml,portable historical registry,13,True,True,,97bd04779c9622235f12be2d3c0fa77296c62197b3163bd31e3963419fe98b25
implementation/data/stage_s/STAGE_S_ARTIFACT_REGISTRY_20260729.yaml,portable historical registry,24,True,True,,282f30b241c49930888788bcf4f04cde344b7cb03d6f07b23cc955ff181e43aa
implementation/data/stage_t/STAGE_T_ARTIFACT_REGISTRY_20260729.yaml,local-only historical registry,46,False,True,artifact_not_in_submission_candidates|ignored_runtime_outputs,2b2989b558619448e5fdc8a54c7efe3812d91c16cb2c7e8806f58824b38d427c
