candidate_id,x,y,width,height,occupied_fraction,longest_occupied,longest_vacant,transitions,transition_frames
BUS_AREA_RIGHT,1040,320,430,280,,,,0,
BUS_AREA_CENTRE,900,300,300,250,,,,0,
UPPER_RIGHT_EMPTY_CAR_AREA,1080,175,300,150,,,,0,
CENTRAL_CAR_ROWS,600,310,650,260,,,,0,
UPPER_RIGHT_STALLS,1140,230,160,60,,,,0,
LOWER_CENTER_CAR_ROWS,520,375,400,110,,,,0,
ROW_Y420_GAPS,515,420,230,70,,,,0,
ROW_Y340_GAPS,510,340,220,60,,,,0,
ROW_Y285_STALLS,540,285,480,50,,,,0,
LEFT_FOREGROUND_STALLS,160,520,320,300,,,,0,
